Team,League
Premier League 2016/17,Hull City FC
Premier League 2016/17,Leicester City FC
Premier League 2016/17,Southampton FC
Premier League 2016/17,Watford FC
Premier League 2016/17,Middlesbrough FC
Premier League 2016/17,Stoke City FC
Premier League 2016/17,Everton FC
Premier League 2016/17,Tottenham Hotspur FC
Premier League 2016/17,Crystal Palace FC
Premier League 2016/17,West Bromwich Albion FC
Premier League 2016/17,Burnley FC
Premier League 2016/17,Swansea City FC
Premier League 2016/17,Manchester City FC
Premier League 2016/17,Sunderland AFC
Premier League 2016/17,AFC Bournemouth
Premier League 2016/17,Manchester United FC
Premier League 2016/17,Arsenal FC
Premier League 2016/17,Liverpool FC
Premier League 2016/17,Chelsea FC
Premier League 2016/17,West Ham United FC
Championship 2016/17,Fulham FC
Championship 2016/17,Newcastle United FC
Championship 2016/17,Blackburn Rovers FC
Championship 2016/17,Norwich City FC
Championship 2016/17,Rotherham United
Championship 2016/17,Wolverhampton Wanderers FC
Championship 2016/17,Reading
Championship 2016/17,Preston North End
Championship 2016/17,Nottingham Forest
Championship 2016/17,Burton Albion FC
Championship 2016/17,Ipswich Town
Championship 2016/17,Barnsley FC
Championship 2016/17,Huddersfield Town
Championship 2016/17,Brentford FC
Championship 2016/17,Birmingham City
Championship 2016/17,Cardiff City FC
Championship 2016/17,Bristol City
Championship 2016/17,Wigan Athletic FC
Championship 2016/17,Derby County
Championship 2016/17,Brighton & Hove Albion
Championship 2016/17,Queens Park Rangers
Championship 2016/17,Leeds United
Championship 2016/17,Sheffield Wednesday
Championship 2016/17,Aston Villa FC
League One 2016/17,Bolton Wanderers FC
League One 2016/17,Sheffield United FC
League One 2016/17,Scunthorpe United FC
League One 2016/17,Bristol Rovers
League One 2016/17,Oxford United
League One 2016/17,Chesterfield FC
League One 2016/17,Northampton Town
League One 2016/17,Fleetwood Town FC
League One 2016/17,Bury FC
League One 2016/17,Charlton Athletic
League One 2016/17,Swindon Town FC
League One 2016/17,Coventry City FC
League One 2016/17,Southend United FC
League One 2016/17,Gillingham FC
League One 2016/17,Shrewsbury Town FC
League One 2016/17,Milton Keynes Dons
League One 2016/17,Rochdale AFC
League One 2016/17,Peterborough United FC
League One 2016/17,Millwall FC
League One 2016/17,Oldham Athletic AFC
League One 2016/17,Bradford City AFC
League One 2016/17,Port Vale FC
League One 2016/17,Walsall FC
League One 2016/17,AFC Wimbledon
1. Bundesliga 2016/17,FC Bayern München
1. Bundesliga 2016/17,Werder Bremen
1. Bundesliga 2016/17,FC Augsburg
1. Bundesliga 2016/17,VfL Wolfsburg
1. Bundesliga 2016/17,Borussia Dortmund
1. Bundesliga 2016/17,1. FSV Mainz 05
1. Bundesliga 2016/17,Eintracht Frankfurt
1. Bundesliga 2016/17,FC Schalke 04
1. Bundesliga 2016/17,Hamburger SV
1. Bundesliga 2016/17,FC Ingolstadt 04
1. Bundesliga 2016/17,1. FC Köln
1. Bundesliga 2016/17,SV Darmstadt 98
1. Bundesliga 2016/17,Bor. Mönchengladbach
1. Bundesliga 2016/17,Bayer Leverkusen
1. Bundesliga 2016/17,Hertha BSC
1. Bundesliga 2016/17,SC Freiburg
1. Bundesliga 2016/17,TSG 1899 Hoffenheim
1. Bundesliga 2016/17,Red Bull Leipzig
2. Bundesliga 2016/17,1. FC Kaiserslautern
2. Bundesliga 2016/17,Hannover 96
2. Bundesliga 2016/17,Arminia Bielefeld
2. Bundesliga 2016/17,Karlsruher SC
2. Bundesliga 2016/17,VfL Bochum
2. Bundesliga 2016/17,1. FC Union Berlin
2. Bundesliga 2016/17,Dynamo Dresden
2. Bundesliga 2016/17,1. FC Nürnberg
2. Bundesliga 2016/17,Eintracht Braunschweig
2. Bundesliga 2016/17,Würzburger Kickers
2. Bundesliga 2016/17,SpVgg Greuther Fürth
2. Bundesliga 2016/17,TSV 1860 München
2. Bundesliga 2016/17,1. FC Heidenheim 1846
2. Bundesliga 2016/17,Erzgebirge Aue
2. Bundesliga 2016/17,SV Sandhausen
2. Bundesliga 2016/17,Fortuna Düsseldorf
2. Bundesliga 2016/17,VfB Stuttgart
2. Bundesliga 2016/17,FC St. Pauli
Eredivisie 2016/17,NEC Nijmegen
Eredivisie 2016/17,PEC Zwolle
Eredivisie 2016/17,ADO Den Haag
Eredivisie 2016/17,Go Ahead Eagles Deventer
Eredivisie 2016/17,FC Twente Enschede
Eredivisie 2016/17,Excelsior
Eredivisie 2016/17,FC Utrecht
Eredivisie 2016/17,PSV Eindhoven
Eredivisie 2016/17,Willem II Tilburg
Eredivisie 2016/17,Vitesse Arnhem
Eredivisie 2016/17,FC Groningen
Eredivisie 2016/17,Feyenoord Rotterdam
Eredivisie 2016/17,AZ Alkmaar
Eredivisie 2016/17,SC Heerenveen
Eredivisie 2016/17,Sparta Rotterdam
Eredivisie 2016/17,Ajax Amsterdam
Eredivisie 2016/17,Roda JC Kerkrade
Eredivisie 2016/17,Heracles Almelo
Ligue 1 2016/17,SC Bastia
Ligue 1 2016/17,Paris Saint-Germain
Ligue 1 2016/17,AS Monaco FC
Ligue 1 2016/17,EA Guingamp
Ligue 1 2016/17,FC Girondins de Bordeaux
Ligue 1 2016/17,AS Saint-Étienne
Ligue 1 2016/17,SM Caen
Ligue 1 2016/17,FC Lorient
Ligue 1 2016/17,Dijon FCO
Ligue 1 2016/17,FC Nantes
Ligue 1 2016/17,FC Metz
Ligue 1 2016/17,OSC Lille
Ligue 1 2016/17,Montpellier Hérault SC
Ligue 1 2016/17,Angers SCO
Ligue 1 2016/17,AS Nancy
